Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Erica Wheeler,IND,34,34,25.0,3.7,8.8,.426,1.4,3.7,.384,2.3,5.1,.457,.507,1.2,1.4,.872,0.1,3.0,5.0,1.2,0.1,2.9,2.2,10.1
Sami Whitcomb,SEA,33,13,20.4,2.5,6.8,.366,1.9,5.6,.342,0.6,1.2,.475,.507,0.3,0.3,1.000,0.5,1.7,2.4,1.1,0.1,1.6,1.5,7.2
Sydney Wiese,LAS,32,16,20.6,1.7,4.5,.385,1.1,2.9,.366,0.7,1.6,.420,.503,0.3,0.3,1.000,0.2,1.3,1.8,0.5,0.3,1.0,0.8,4.8
Courtney Williams,CON,34,34,29.1,5.5,12.6,.435,0.5,1.0,.457,5.0,11.6,.433,.453,1.8,2.2,.800,1.4,5.6,3.8,1.4,0.4,1.6,1.4,13.2
Elizabeth Williams,ATL,32,32,28.4,3.3,7.3,.455,0.0,0.0,,3.3,7.3,.455,.455,2.6,3.5,.732,3.1,6.5,1.2,0.8,1.7,1.3,2.2,9.3
Gabby Williams,CHI,33,2,16.0,2.3,5.5,.414,0.2,1.2,.171,2.1,4.2,.486,.434,0.9,1.2,.725,0.4,2.2,2.1,0.7,0.2,1.7,1.2,5.6
Riquna Williams,LAS,23,14,25.8,4.0,10.5,.384,2.3,6.0,.391,1.7,4.5,.375,.496,1.9,2.2,.880,0.6,2.6,1.6,1.1,0.2,1.2,2.5,12.3
A'ja Wilson,LVA,26,25,28.5,6.1,12.7,.479,0.0,0.0,.000,6.1,12.7,.480,.479,4.4,5.5,.792,1.7,6.5,1.8,0.5,1.7,2.2,2.0,16.5
Tanisha Wright,NYL,31,17,19.8,1.7,4.2,.415,0.5,1.2,.368,1.3,3.0,.435,.469,0.8,1.0,.806,0.7,2.8,4.1,1.0,0.3,1.8,2.2,4.7
Han Xu,NYL,18,0,7.9,1.3,3.2,.414,0.3,0.6,.500,1.1,2.7,.396,.457,0.1,0.1,.500,0.1,0.8,0.1,0.2,0.2,0.1,0.3,3.0
Jackie Young,LVA,34,34,22.6,2.2,6.9,.322,0.4,1.3,.318,1.8,5.6,.323,.352,1.7,2.1,.808,0.7,3.3,4.5,0.8,0.4,1.6,1.4,6.6
Tamera Young,LVA,34,4,18.5,2.0,5.3,.380,0.1,0.5,.313,1.9,4.8,.387,.394,1.1,1.8,.639,1.0,3.6,2.0,0.7,0.1,1.4,1.8,5.3
Amanda Zahui B.,NYL,24,23,23.3,3.4,7.2,.468,0.9,2.9,.319,2.5,4.3,.567,.532,1.0,1.1,.852,1.1,6.3,0.9,1.1,1.4,1.3,3.3,8.6
Shavonte Zellous,SEA,31,4,13.9,1.4,3.7,.379,0.2,1.0,.188,1.2,2.7,.452,.405,1.0,1.3,.750,0.2,1.5,1.5,0.3,0.2,1.1,1.4,4.0
